iter	Passed	Remaining
0	0	46
1	0	43
2	1	42
3	1	41
4	2	41
5	2	40
6	3	40
7	3	39
8	3	39
9	4	39
10	4	38
11	5	37
12	5	37
13	6	37
14	6	37
15	7	38
16	7	37
17	8	36
18	8	36
19	8	35
20	9	35
21	9	34
22	10	34
23	10	34
24	11	33
25	11	33
26	12	32
27	12	32
28	13	32
29	13	31
30	14	31
31	14	30
32	15	30
33	15	30
34	16	30
35	16	29
36	17	29
37	17	28
38	17	28
39	18	27
40	19	27
41	19	26
42	19	26
43	20	25
44	20	25
45	20	24
46	21	24
47	21	23
48	22	23
49	22	22
50	23	22
51	23	21
52	24	21
53	24	20
54	25	20
55	25	20
56	25	19
57	26	19
58	26	18
59	27	18
60	27	17
61	28	17
62	28	16
63	29	16
64	29	15
65	29	15
66	30	14
67	30	14
68	31	13
69	31	13
70	32	13
71	32	12
72	32	12
73	33	11
74	33	11
75	34	10
76	34	10
77	35	9
78	35	9
79	35	8
80	36	8
81	36	8
82	37	7
83	37	7
84	38	6
85	38	6
86	38	5
87	39	5
88	39	4
89	40	4
90	40	4
91	41	3
92	41	3
93	42	2
94	42	2
95	42	1
96	43	1
97	43	0
98	44	0
99	44	0
