iter	Passed	Remaining
0	56	56089
1	56	28212
2	56	18913
3	57	14244
4	57	11442
5	57	9576
6	58	8247
7	58	7250
8	58	6471
9	59	5850
10	59	5341
11	59	4918
12	60	4561
13	60	4254
14	60	3987
15	61	3753
16	61	3546
17	61	3362
18	61	3199
19	62	3050
20	62	2915
21	62	2792
22	63	2681
23	63	2578
24	63	2483
25	63	2397
26	64	2319
27	64	2246
28	65	2177
29	65	2113
30	65	2053
31	66	1997
32	66	1944
33	66	1892
34	66	1844
35	67	1799
36	67	1756
37	67	1715
38	68	1677
39	68	1642
40	68	1607
41	69	1574
42	69	1544
43	69	1513
44	69	1484
45	70	1457
46	70	1430
47	70	1405
48	71	1381
49	71	1358
50	71	1335
51	72	1313
52	72	1291
53	72	1271
54	72	1251
55	73	1232
56	73	1215
57	73	1197
58	74	1180
59	74	1163
60	74	1147
61	74	1132
62	75	1116
63	75	1102
64	75	1088
65	75	1074
66	76	1061
67	76	1048
68	76	1035
69	77	1023
70	77	1011
71	77	999
72	77	988
73	78	978
74	78	967
75	78	957
76	79	947
77	79	937
78	79	928
79	79	918
80	80	909
81	80	899
82	80	889
83	80	880
84	80	871
85	81	863
86	81	855
87	81	847
88	82	839
89	82	831
90	82	824
91	82	817
92	83	809
93	83	803
94	83	796
95	83	789
96	84	782
97	84	776
98	84	770
99	84	763
100	85	757
101	85	752
102	85	746
103	85	740
104	86	734
105	86	729
106	86	723
107	87	718
108	87	713
109	87	708
110	87	704
111	88	699
112	88	694
113	88	689
114	88	684
115	89	680
116	89	675
117	89	670
118	90	666
119	90	662
120	90	657
121	90	652
122	90	648
123	91	644
124	91	640
125	91	636
126	91	632
127	92	628
128	92	624
129	92	620
130	92	616
131	93	613
132	93	610
133	93	606
134	94	602
135	94	599
136	94	595
137	94	592
138	95	589
139	95	585
140	95	582
141	95	578
142	96	575
143	96	572
144	96	568
145	96	565
146	97	563
147	97	560
148	97	556
149	97	553
150	98	551
151	98	548
152	98	545
153	98	542
154	99	539
155	99	537
156	99	534
157	99	532
158	100	529
159	100	527
160	100	523
161	100	521
162	101	518
163	101	516
164	101	514
165	101	511
166	102	509
167	102	506
168	102	504
169	103	503
170	103	500
171	103	498
172	103	496
173	104	494
174	104	492
175	104	490
176	104	488
177	105	486
178	105	483
179	105	481
180	105	479
181	106	477
182	106	475
183	106	473
184	107	471
185	107	469
186	107	467
187	107	465
188	108	463
189	108	461
190	108	460
191	108	458
192	109	456
193	109	454
194	109	453
195	109	451
196	110	449
197	110	447
198	110	445
199	111	444
200	111	442
201	111	440
202	111	439
203	112	437
204	112	435
205	112	434
206	112	432
207	113	431
208	113	429
209	113	428
210	114	426
211	114	424
212	114	423
213	114	421
214	115	420
215	115	418
216	115	417
217	115	415
218	116	414
219	116	412
220	116	411
221	116	409
222	117	408
223	117	406
224	117	405
225	117	404
226	118	402
227	118	401
228	118	400
229	119	399
230	119	397
231	119	396
232	120	395
233	120	393
234	120	392
235	120	391
236	121	389
237	121	388
238	121	387
239	121	385
240	122	384
241	122	383
242	122	382
243	122	380
244	123	379
245	123	378
246	123	377
247	123	375
248	124	374
249	124	373
250	124	372
251	124	370
252	125	369
253	125	368
254	125	367
255	125	366
256	126	365
257	126	363
258	126	362
259	127	361
260	127	360
261	127	359
262	127	358
263	128	356
264	128	355
265	128	354
266	128	353
267	129	352
268	129	351
269	129	350
270	129	349
271	130	348
272	130	346
273	130	345
274	130	344
275	131	343
276	131	342
277	131	341
278	131	340
279	132	339
280	132	338
281	132	337
282	132	336
283	133	335
284	133	334
285	133	333
286	133	332
287	134	331
288	134	330
289	134	329
290	134	328
291	135	327
292	135	326
293	135	325
294	136	325
295	136	324
296	136	323
297	136	322
298	137	321
299	137	320
300	137	319
301	137	318
302	138	317
303	138	316
304	138	315
305	138	315
306	139	314
307	139	313
308	139	312
309	139	311
310	140	310
311	140	309
312	140	308
313	140	307
314	141	307
315	141	306
316	141	305
317	142	304
318	142	303
319	142	302
320	142	302
321	143	301
322	143	300
323	143	299
324	143	299
325	144	298
326	144	297
327	144	296
328	145	295
329	145	295
330	145	294
331	145	293
332	146	292
333	146	292
334	146	291
335	147	290
336	147	289
337	147	289
338	147	288
339	148	287
340	148	286
341	148	285
342	148	285
343	149	284
344	149	283
345	149	282
346	149	282
347	150	281
348	150	280
349	150	279
350	150	279
351	151	278
352	151	277
353	151	276
354	152	276
355	152	275
356	152	275
357	152	274
358	153	273
359	153	272
360	153	272
361	154	271
362	154	271
363	154	270
364	155	270
365	155	269
366	155	268
367	155	267
368	156	267
369	156	266
370	156	265
371	157	265
372	157	264
373	157	263
374	157	263
375	158	262
376	158	261
377	158	261
378	158	260
379	159	259
380	159	259
381	159	258
382	160	257
383	160	257
384	160	256
385	160	255
386	161	255
387	161	254
388	161	253
389	161	253
390	162	252
391	162	251
392	162	251
393	162	250
394	163	249
395	163	249
396	163	248
397	163	247
398	164	247
399	164	246
400	164	245
401	164	245
402	165	244
403	165	244
404	165	243
405	165	242
406	166	242
407	166	241
408	166	240
409	167	240
410	167	239
411	167	239
412	167	238
413	168	237
414	168	237
415	168	236
416	168	236
417	169	235
418	169	235
419	169	234
420	170	233
421	170	233
422	170	232
423	170	232
424	171	231
425	171	230
426	171	230
427	172	229
428	172	229
429	172	228
430	172	228
431	173	227
432	173	226
433	173	226
434	173	225
435	174	225
436	174	224
437	174	224
438	174	223
439	175	222
440	175	222
441	175	221
442	175	221
443	176	220
444	176	220
445	176	219
446	177	219
447	177	218
448	177	218
449	177	217
450	178	216
451	178	216
452	178	215
453	178	215
454	179	214
455	179	214
456	179	213
457	180	213
458	180	212
459	180	212
460	180	211
461	181	211
462	181	210
463	181	209
464	182	209
465	182	208
466	182	208
467	182	207
468	183	207
469	183	206
470	183	206
471	183	205
472	184	205
473	184	204
474	184	204
475	184	203
476	185	203
477	185	202
478	185	202
479	186	201
480	186	200
481	186	200
482	186	199
483	187	199
484	187	199
485	187	198
486	188	198
487	188	197
488	188	197
489	189	196
490	189	196
491	189	195
492	189	195
493	190	194
494	190	194
495	190	193
496	190	193
497	191	192
498	191	192
499	191	191
500	192	191
501	192	190
502	192	190
503	192	189
504	193	189
505	193	188
506	193	188
507	193	187
508	194	187
509	194	186
510	194	186
511	194	185
512	195	185
513	195	184
514	195	184
515	195	183
516	196	183
517	196	182
518	196	182
519	196	181
520	197	181
521	197	180
522	197	180
523	198	179
524	198	179
525	198	178
526	198	178
527	199	177
528	199	177
529	199	176
530	199	176
531	200	176
532	200	175
533	200	175
534	200	174
535	201	174
536	201	173
537	201	173
538	201	172
539	202	172
540	202	171
541	202	171
542	203	171
543	203	170
544	204	170
545	204	170
546	204	169
547	205	169
548	205	168
549	205	168
550	205	167
551	206	167
552	206	166
553	206	166
554	206	165
555	207	165
556	207	164
557	207	164
558	207	163
559	208	163
560	208	163
561	208	162
562	208	162
563	209	161
564	209	161
565	209	160
566	209	160
567	210	159
568	211	159
569	211	159
570	211	159
571	211	158
572	212	158
573	212	157
574	212	157
575	213	156
576	213	156
577	213	155
578	213	155
579	214	155
580	214	154
581	214	154
582	214	153
583	215	153
584	215	152
585	215	152
586	215	151
587	216	151
588	216	151
589	216	150
590	216	150
591	217	149
592	217	149
593	217	148
594	217	148
595	218	147
596	218	147
597	218	147
598	219	146
599	219	146
600	219	145
601	219	145
602	220	144
603	220	144
604	220	143
605	220	143
606	221	143
607	221	142
608	221	142
609	221	141
610	222	141
611	222	140
612	222	140
613	222	140
614	223	139
615	223	139
616	223	138
617	224	138
618	224	138
619	224	137
620	224	137
621	225	136
622	225	136
623	225	135
624	225	135
625	226	135
626	226	134
627	226	134
628	226	133
629	227	133
630	227	133
631	227	132
632	228	132
633	228	131
634	228	131
635	228	130
636	228	130
637	229	130
638	229	129
639	229	129
640	230	128
641	230	128
642	230	128
643	230	127
644	231	127
645	231	126
646	231	126
647	231	126
648	232	125
649	232	125
650	232	124
651	233	124
652	233	123
653	233	123
654	233	123
655	234	122
656	234	122
657	234	121
658	234	121
659	235	121
660	235	120
661	235	120
662	235	119
663	236	119
664	236	119
665	236	118
666	236	118
667	237	117
668	237	117
669	237	117
670	237	116
671	238	116
672	238	115
673	238	115
674	239	115
675	239	114
676	239	114
677	239	113
678	240	113
679	240	113
680	240	112
681	240	112
682	241	111
683	241	111
684	241	111
685	241	110
686	242	110
687	242	109
688	242	109
689	242	109
690	243	108
691	243	108
692	243	107
693	243	107
694	244	107
695	244	106
696	244	106
697	245	106
698	245	105
699	246	105
700	246	105
701	246	104
702	247	104
703	247	103
704	247	103
705	247	103
706	248	102
707	248	102
708	248	102
709	248	101
710	249	101
711	249	100
712	249	100
713	249	100
714	250	99
715	250	99
716	250	98
717	250	98
718	251	98
719	251	97
720	251	97
721	251	97
722	252	96
723	252	96
724	252	95
725	253	95
726	253	95
727	253	94
728	253	94
729	254	93
730	254	93
731	254	93
732	254	92
733	255	92
734	255	92
735	255	91
736	255	91
737	255	90
738	256	90
739	256	90
740	256	89
741	256	89
742	257	88
743	257	88
744	257	88
745	257	87
746	258	87
747	258	87
748	258	86
749	258	86
750	259	85
751	259	85
752	259	85
753	259	84
754	260	84
755	260	84
756	260	83
757	260	83
758	261	82
759	261	82
760	261	82
761	262	81
762	262	81
763	262	81
764	262	80
765	263	80
766	263	79
767	263	79
768	263	79
769	264	78
770	264	78
771	264	78
772	264	77
773	265	77
774	265	77
775	265	76
776	265	76
777	266	75
778	266	75
779	266	75
780	266	74
781	267	74
782	267	74
783	267	73
784	267	73
785	268	73
786	268	72
787	268	72
788	268	71
